Contract ID, Bug ID, Bug Label, Difficulty, Bug Description, Reference,Check
13, H-04, S5-1, 1," ""Anyone can affect deposits of any user and turn the owner of the token""", https://code4rena.com/reports/2021-06-realitycards#h-04-anyone-can-affect-deposits-of-any-user-and-turn-the-owner-of-the-token,✅
42, H-08, S5-1, 2," ""Anyone can extend withdraw wait period by depositing zero collateral""", https://code4rena.com/reports/2021-10-mochi#h-08-anyone-can-extend-withdraw-wait-period-by-depositing-zero-collateral,""
74, H-01, S5-1, 1," ""TimeswapPair.sol#borrow() Improper implementation allows attacker to increase pool.state.z to a large value""", https://code4rena.com/reports/2022-01-timeswap#h-01-timeswappairsolborrow-improper-implementation-allows-attacker-to-increase-poolstatez-to-a-large-value,""
74, H-02, S5-1, 1," ""TimeswapConvenience.sol#borrowGivenDebt() Attacker can increase state.y to an extremely large value with a dust amount of assetOut""", https://code4rena.com/reports/2022-01-timeswap#h-02-timeswapconveniencesolborrowgivendebt-attacker-can-increase-statey-to-an-extremely-large-value-with-a-dust-amount-of-assetout,""
74, H-03, S5-1, 4," ""Manipulation of the Y State Results in Interest Rate Manipulation""", https://code4rena.com/reports/2022-01-timeswap#h-03-manipulation-of-the-y-state-results-in-interest-rate-manipulation,""
78, H-01, S5-1, 3," ""Lack of access control on assertGovernanceApproved can cause funds to be locked""", https://code4rena.com/reports/2022-01-behodler#h-01-lack-of-access-control-on-assertgovernanceapproved-can-cause-funds-to-be-locked,""
123, H-01, S5-1, 1," ""User can forfeit other user rewards""", https://code4rena.com/reports/2022-05-aura#h-01-user-can-forfeit-other-user-rewards,""
192, H-05, S5-1, 6," ""Malicious user can steal all assets in BondNFT""", https://code4rena.com/reports/2022-12-tigris#h-05-malicious-user-can-steal-all-assets-in-bondnft,""
64, H-03, S5-2, 6," ""Continue claiming reqrds after numberOfEpochs are over""", https://code4rena.com/reports/2021-12-pooltogether#h-03-continue-claiming-reqrds-after-numberofepochs-are-over,""
71, H-12, S5-2, 2," ""IndexTemplate.sol Wrong implementation allows lp of the index pool to resume a locked PayingOut pool and escape the responsibility for the compensation""", https://code4rena.com/reports/2022-01-insure#h-12-indextemplatesol-wrong-implementation-allows-lp-of-the-index-pool-to-resume-a-locked-payingout-pool-and-escape-the-responsibility-for-the-compensation,""
83, H-03, S5-2, 19," ""Repeated Calls to Shelter.withdraw Can Drain All Funds in Shelter""", https://code4rena.com/reports/2022-02-concur#h-03-repeated-calls-to-shelterwithdraw-can-drain-all-funds-in-shelter,""
113, H-04, S5-2, 7," ""Lender is able to seize the collateral by changing the loan parameters""", https://code4rena.com/reports/2022-04-abranft#h-04-lender-is-able-to-seize-the-collateral-by-changing-the-loan-parameters,""
5, H-10, S5-3, 1," ""Anyone can list anchors / curate tokens""", https://code4rena.com/reports/2021-04-vader#h-10-anyone-can-list-anchors--curate-tokens,✅
5, H-14, S5-3, 1," ""Missing access restriction on lockUnits/unlockUnits""", https://code4rena.com/reports/2021-04-vader#h-14-missing-access-restriction-on-lockunitsunlockunits,✅
5, H-21, S5-3, 1," ""Anyone Can Avoid All Vether Transfer Fees By Adding Their Address to the Vether ExcludedAddresses List.""", https://code4rena.com/reports/2021-04-vader#h-21-anyone-can-avoid-all-vether-transfer-fees-by-adding-their-address-to-the-vether-excludedaddresses-list,""
5, H-23, S5-3, 1," ""Anyone can curate pools and steal rewards""", https://code4rena.com/reports/2021-04-vader#h-23-anyone-can-curate-pools-and-steal-rewards,""
13, H-03, S5-3, 4," ""anyone can call function sponsor""", https://code4rena.com/reports/2021-06-realitycards#h-03-anyone-can-call-function-sponsor,✅
17, H-03, S5-3, 3," ""Incorrect use of operator leads to arbitrary minting of GVT tokens""", https://code4rena.com/reports/2021-06-gro#h-03-incorrect-use-of-operator-leads-to-arbitrary-minting-of-gvt-tokens,""
52, H-13, S5-3, 1," ""Anyone Can Arbitrarily Mint Synthetic Assets In VaderPoolV2.mintSynth()""", https://code4rena.com/reports/2021-11-vader#h-13-anyone-can-arbitrarily-mint-synthetic-assets-in-vaderpoolv2mintsynth,""
52, H-14, S5-3, 1," ""Anyone Can Arbitrarily Mint Fungible Tokens In VaderPoolV2.mintFungible()""", https://code4rena.com/reports/2021-11-vader#h-14-anyone-can-arbitrarily-mint-fungible-tokens-in-vaderpoolv2mintfungible,""
55, H-01, S5-3, 1," ""makePayment() Lack of access control allows malicious lender to retrieve a large portion of the funds earlier, making the borrower suffer fund loss""", https://code4rena.com/reports/2021-12-maple#h-01-makepayment-lack-of-access-control-allows-malicious-lender-to-retrieve-a-large-portion-of-the-funds-earlier-making-the-borrower-suffer-fund-loss,""
61, H-06, S5-3, 1," ""Anyone can liquidate credit line when autoLiquidation is false without supplying borrow tokens""", https://code4rena.com/reports/2021-12-sublime#h-06-anyone-can-liquidate-credit-line-when-autoliquidation-is-false-without-supplying-borrow-tokens,""
66, H-01, S5-3, 3," ""receiveCollateral() can be called by anyone""", https://code4rena.com/reports/2021-12-yetifinance#h-01-receivecollateral-can-be-called-by-anyone,""
104, H-02, S5-3, 10," ""Splitter: Anyone can call incrementWindow to steal the tokens in the contract""", https://code4rena.com/reports/2022-03-joyn#h-02-splitter-anyone-can-call-incrementwindow-to-steal-the-tokens-in-the-contract,""
104, H-04, S5-3, 12," ""CoreCollection can be reinitialized""", https://code4rena.com/reports/2022-03-joyn#h-04-corecollection-can-be-reinitialized,""
